[1] Speed Table:
       speeds   group
86    309.2  0.8999999     1.300000          171  185_rut2080w6 rut2080
87    456.5  0.9500000     1.300000          236  186_rut2080w7 rut2080
88    581.5  1.5000000     1.500000          145  187_rut2080w8 rut2080
89    536.9  1.8000002     1.300000          184  188_rut2080w9 rut2080
90    458.8  1.4500000     1.300000          212 189_rut2080w10 rut2080
91    738.9  2.1000001     1.000000           99 190_rut2080w11 rut2080
92    321.4  0.8000001     1.600000          188 191_rut2080w12 rut2080
93    646.3  2.4000001     1.200000          141 192_rut2080w13 rut2080
94    478.4  1.4000000     1.450000          184 193_rut2080w14 rut2080
95    485.2  0.9500000     1.300000          158 194_rut2080w15 rut2080
96    406.9  0.5000000     1.400000          182 195_rut2080w16 rut2080
97    530.7  0.9000001     1.000000          163 196_rut2080w17 rut2080
98    421.0  0.8999999     1.000000          254 197_rut2080w18 rut2080
99    366.5  0.8999999     1.550000          156 198_rut2080w19 rut2080
100   428.2  1.0999999           NA          185 199_rut2080w20 rut2080
